Post ID,Product,Platform,Date,Time,Hook,Audience,CTA,Asset Type,Size,Overlay Text,Visual Metaphor,Media Prompt,Relevance Score,Errors,Warnings
arcg-2026-05-19-linkedin-1,arcg,linkedin,2026-05-19,09:00,Your operation is bleeding cash in 3 places you have never measured.,small-business-owners,Worth a quick 10-minute triage call?,image,1536x1024,Your operation is bleeding cash in,SLA tracker,"Generate an editorial linkedin visual for ARCG (1536x1024).
Audience: small business owners.
Campaign intent: campaign intent.
This image must visualize THIS specific hook: ""Your operation is bleeding cash in 3 places you have never measured."".
Visual metaphor: SLA tracker.
Focal anchor (the protagonist of the frame): a reporting dashboard with one metric drilled into.
Composition style: vertical stacked-card composition of three connected steps, arrows between them.
Scene mood: quiet planning session, paper sketches next to a screen.
Why this visual belongs to this exact post: it translates ""Your operation is bleeding cash in 3 places you have never measured."" into a SLA tracker for ARCG, tied to campaign intent for small business owners.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): reporting, compliance, operational leak.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Your operation is bleeding cash in"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: Operational Waste Exposé. Source angle: Operational Waste Exposé.",100,,
arcg-2026-05-19-instagram-1,arcg,instagram,2026-05-19,12:00,Your operation is bleeding cash in 3 places you have never measured.,small-business-owners,Want me to map the breakdown I'm seeing?,image,1024x1536,Your operation is bleeding cash in,ops dashboard,"Generate an editorial instagram visual for ARCG (1024x1536).
Audience: small business owners.
Campaign intent: campaign intent.
This image must visualize THIS specific hook: ""Your operation is bleeding cash in 3 places you have never measured."".
Visual metaphor: ops dashboard.
Focal anchor (the protagonist of the frame): an SLA tracker line chart crossing a threshold.
Composition style: isometric 3/4 view of a multi-panel operations layout, depth and layering.
Scene mood: calm post-resolution moment, healthy green status dominating.
Why this visual belongs to this exact post: it translates ""Your operation is bleeding cash in 3 places you have never measured."" into a ops dashboard for ARCG, tied to campaign intent for small business owners.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): dashboard, dispatch, reporting.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Your operation is bleeding cash in"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: Operational Waste Exposé. Source angle: Operational Waste Exposé.",100,,
arcg-2026-05-19-facebook-1,arcg,facebook,2026-05-19,10:00,Your operation is bleeding cash in 3 places you have never measured.,small-business-owners,Open to a quick diagnostic conversation?,image,1024x1024,Your operation is bleeding cash in,reporting visibility console,"Generate an editorial facebook visual for ARCG (1024x1024).
Audience: small business owners.
Campaign intent: book diagnostic call.
This image must visualize THIS specific hook: ""Your operation is bleeding cash in 3 places you have never measured."".
Visual metaphor: reporting visibility console.
Focal anchor (the protagonist of the frame): an SLA tracker line chart crossing a threshold.
Composition style: single hand-held tablet or laptop in a real environment, screen content readable, surroundings out of focus.
Scene mood: calm post-resolution moment, healthy green status dominating.
Why this visual belongs to this exact post: it translates ""Your operation is bleeding cash in 3 places you have never measured."" into a reporting visibility console for ARCG, tied to book diagnostic call for small business owners.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): blueprint, workflow, dashboard.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Your operation is bleeding cash in"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: Operational Waste Exposé. Source angle: Operational Waste Exposé.",100,,
arcg-2026-05-20-linkedin-1,arcg,linkedin,2026-05-20,09:00,Every handoff between your team members is a silent failure point waiting to break.,property-managers,Want me to map the breakdown I'm seeing?,image,1536x1024,Every handoff between your team members,reporting visibility console,"Generate an editorial linkedin visual for ARCG (1536x1024).
Audience: property managers.
Campaign intent: campaign intent.
This image must visualize THIS specific hook: ""Every handoff between your team members is a silent failure point waiting to break."".
Visual metaphor: reporting visibility console.
Focal anchor (the protagonist of the frame): a single red SLA-breach widget centered as the protagonist.
Composition style: isometric 3/4 view of a multi-panel operations layout, depth and layering.
Scene mood: early-morning shift change, low warm lighting.
Why this visual belongs to this exact post: it translates ""Every handoff between your team members is a silent failure point waiting to break."" into a reporting visibility console for ARCG, tied to campaign intent for property managers.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): reporting, compliance, operational leak.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Every handoff between your team members"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: Manual Handoff Failures. Source angle: Manual Handoff Failures.",100,,
arcg-2026-05-20-instagram-1,arcg,instagram,2026-05-20,12:00,Every handoff between your team members is a silent failure point waiting to break.,property-managers,Open to a quick diagnostic conversation?,image,1024x1536,Every handoff between your team members,reporting visibility console,"Generate an editorial instagram visual for ARCG (1024x1536).
Audience: property managers.
Campaign intent: book diagnostic call.
This image must visualize THIS specific hook: ""Every handoff between your team members is a silent failure point waiting to break."".
Visual metaphor: reporting visibility console.
Focal anchor (the protagonist of the frame): an operational-leak map with one tagged failure point.
Composition style: vertical stacked-card composition of three connected steps, arrows between them.
Scene mood: mid-day live war-room, alert energy.
Why this visual belongs to this exact post: it translates ""Every handoff between your team members is a silent failure point waiting to break."" into a reporting visibility console for ARCG, tied to book diagnostic call for property managers.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): operational leak, blueprint, workflow.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Every handoff between your team members"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: Manual Handoff Failures. Source angle: Manual Handoff Failures.",100,,
arcg-2026-05-20-facebook-1,arcg,facebook,2026-05-20,10:00,Every handoff between your team members is a silent failure point waiting to break.,property-managers,Want me to show you where the waste likely is?,image,1024x1024,Every handoff between your team members,SLA tracker,"Generate an editorial facebook visual for ARCG (1024x1024).
Audience: property managers.
Campaign intent: campaign intent.
This image must visualize THIS specific hook: ""Every handoff between your team members is a silent failure point waiting to break."".
Visual metaphor: SLA tracker.
Focal anchor (the protagonist of the frame): an operational-leak map with one tagged failure point.
Composition style: top-down flat-lay of a workflow diagram on a dark desk, gold accent annotations.
Scene mood: mid-day live war-room, alert energy.
Why this visual belongs to this exact post: it translates ""Every handoff between your team members is a silent failure point waiting to break."" into a SLA tracker for ARCG, tied to campaign intent for property managers.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): workflow, dashboard, dispatch.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Every handoff between your team members"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: Manual Handoff Failures. Source angle: Manual Handoff Failures.",100,,
arcg-2026-05-21-linkedin-1,arcg,linkedin,2026-05-21,09:00,Your business lost revenue last month. Not from bad sales. From broken follow-up.,service-companies,Open to a quick diagnostic conversation?,image,1536x1024,Your business lost revenue last month,operational leak map,"Generate an editorial linkedin visual for ARCG (1536x1024).
Audience: service companies.
Campaign intent: book diagnostic call.
This image must visualize THIS specific hook: ""Your business lost revenue last month. Not from bad sales. From broken follow-up."".
Visual metaphor: operational leak map.
Focal anchor (the protagonist of the frame): a vendor dispatch board with one row highlighted in gold.
Composition style: wide horizontal hero shot of a single large console screen, off-center subject, generous negative space on the right.
Scene mood: after-hours ops room, single screen glow.
Why this visual belongs to this exact post: it translates ""Your business lost revenue last month. Not from bad sales. From broken follow-up."" into a operational leak map for ARCG, tied to book diagnostic call for service companies.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): blueprint, workflow, dashboard.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Your business lost revenue last month"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: Revenue Leakage Diagnosis. Source angle: Revenue Leakage Diagnosis.",100,,
arcg-2026-05-21-instagram-1,arcg,instagram,2026-05-21,12:00,Your business lost revenue last month. Not from bad sales. From broken follow-up.,service-companies,Want me to show you where the waste likely is?,image,1024x1536,Your business lost revenue last month,ops dashboard,"Generate an editorial instagram visual for ARCG (1024x1536).
Audience: service companies.
Campaign intent: campaign intent.
This image must visualize THIS specific hook: ""Your business lost revenue last month. Not from bad sales. From broken follow-up."".
Visual metaphor: ops dashboard.
Focal anchor (the protagonist of the frame): a handoff diagram with a missing-owner gap glowing.
Composition style: macro detail close-up on one widget or metric, shallow depth of field, blurred surrounding interface.
Scene mood: split-screen control tower at peak activity.
Why this visual belongs to this exact post: it translates ""Your business lost revenue last month. Not from bad sales. From broken follow-up."" into a ops dashboard for ARCG, tied to campaign intent for service companies.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): blueprint, workflow, dashboard.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Your business lost revenue last month"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: Revenue Leakage Diagnosis. Source angle: Revenue Leakage Diagnosis.",100,,
arcg-2026-05-21-facebook-1,arcg,facebook,2026-05-21,10:00,Your business lost revenue last month. Not from bad sales. From broken follow-up.,service-companies,Book a free triage call — arcgsystems.com,image,1024x1024,Your business lost revenue last month,ops dashboard,"Generate an editorial facebook visual for ARCG (1024x1024).
Audience: service companies.
Campaign intent: campaign intent.
This image must visualize THIS specific hook: ""Your business lost revenue last month. Not from bad sales. From broken follow-up."".
Visual metaphor: ops dashboard.
Focal anchor (the protagonist of the frame): a workflow blueprint sketch annotated with red ink.
Composition style: macro detail close-up on one widget or metric, shallow depth of field, blurred surrounding interface.
Scene mood: remote field environment with a single device in foreground.
Why this visual belongs to this exact post: it translates ""Your business lost revenue last month. Not from bad sales. From broken follow-up."" into a ops dashboard for ARCG, tied to campaign intent for service companies.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): workflow, dashboard, dispatch.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Your business lost revenue last month"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: Revenue Leakage Diagnosis. Source angle: Revenue Leakage Diagnosis.",100,,
arcg-2026-05-22-linkedin-1,arcg,linkedin,2026-05-22,09:00,"Three dashboards, five spreadsheets, and a group chat is not visibility. It is operational fog.",government-contractors,Want me to show you where the waste likely is?,image,1536x1024,Three dashboards five spreadsheets and a,vendor dispatch board,"Generate an editorial linkedin visual for ARCG (1536x1024).
Audience: government contractors.
Campaign intent: campaign intent.
This image must visualize THIS specific hook: ""Three dashboards, five spreadsheets, and a group chat is not visibility. It is operational fog."".
Visual metaphor: vendor dispatch board.
Focal anchor (the protagonist of the frame): an operational-leak map with one tagged failure point.
Composition style: top-down flat-lay of a workflow diagram on a dark desk, gold accent annotations.
Scene mood: mid-day live war-room, alert energy.
Why this visual belongs to this exact post: it translates ""Three dashboards, five spreadsheets, and a group chat is not visibility. It is operational fog."" into a vendor dispatch board for ARCG, tied to campaign intent for government contractors.
Show the operational leak / workflow failure the hook describes — make the broken thing readable in one glance.
Anchor on these concepts ONLY (do not try to cram every operational concept into one frame): reporting, compliance, operational leak.
Visual distinctness requirement: this image must NOT recreate the generic multi-panel ""blue-dashboard with red and gold widgets"" composition. Every post in this campaign needs a different camera angle, different focal subject, and different scene framing. If your default impulse is ""a wide dashboard with several widgets"", reject it and use the composition style and focal anchor above instead.
Style: dark navy (#0A0C12) and charcoal background, gold (#C9941A) accent, muted teal for healthy states, red for leaks. Editorial, high-resolution, photographic-realism for any UI screens, no stock-photo people, no logos that are not ARCG, SourceDeck, ChartNav, or Rezy.
Overlay text: place exactly ""Three dashboards five spreadsheets and a"" as a small label in the bottom-left of the frame. Do not render long captions inside the image. Do not generate any other in-image text.
Forbidden: no robots; no humanoid AI characters; no handshakes; no conference rooms; no stock-photo business people; no generic office scenes; no city skyline backgrounds.
Theme: No Source of Truth. Source angle: No Source of Truth.",100,,
